Year,Initial Investment,Wins,Losses,Total Weeks,Final Capital,Net Profit (After Tax),Net Profit %,Next Year Investment
2011,200000.0,38,14,52,184806.98,-15193.02,-7.6,184806.98
2012,184806.98,48,4,52,300039.8,92186.25,49.88,276993.23
2013,276993.23,49,3,52,485907.03,167131.04,60.34,444124.27
2014,444124.27,46,6,52,670263.69,180911.54,40.73,625035.81
2015,625035.81,47,5,52,1005478.79,304354.38,48.69,929390.19
2016,929390.19,48,5,53,1525941.89,477241.36,51.35,1406631.55
2017,1406631.55,52,0,52,3027428.25,1296637.36,92.18,2703268.91
2018,2703268.91,50,2,52,5223535.0,2016212.87,74.58,4719481.78
2019,4719481.78,49,3,52,8638484.77,3135202.39,66.43,7854684.17
2020,7854684.17,37,15,52,7370124.09,-484560.08,-6.17,7370124.09
2021,7370124.09,47,6,53,11593758.22,3378907.31,45.85,10749031.4
2022,10749031.4,46,6,52,16668487.36,4735564.77,44.06,15484596.17
2023,15484596.17,52,0,52,33560750.85,14460923.75,93.39,29945519.92
2024,29945519.92,49,3,52,54931185.66,19988532.59,66.75,49934052.51
2025,49934052.51,49,3,52,91609761.29,33340567.03,66.77,83274619.54
